environment,sample_budget,algorithm,algorithm_family,mean_normalized_reward,whisker_lo,whisker_hi,extraction_method,source,notes
DRAMGym,100,ACO,ant colony optimization,0.026,0.017,0.037,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]","Mean normalized reward (higher is better) vs. simulator-sample budget, DRAM memory-controller design (DRAMGym, DRAMSys). Programmatic digitization of the native 8187x3237 embedded raster in the arXiv 2306.08888v1 PDF (DOI 10.1145/3579371.3589049): per-family color masks, axis calibration via the five y-tick bands (fit residual <= 0.0017 reward units), plotted-whisker extents from pixels. The discussion surrounding Figure 7 does not state the normalization reference, aggregation population, or whisker statistic. Reading uncertainty ~ +/-0.003 reward units; values are transcriptions of the published figure at plotted resolution, not raw data (oss-arch-gym repo checked 2026-07-13, no numeric result artifacts). Accessed 2026-07-13."
DRAMGym,100,BO,Bayesian optimization,0.046,0.025,0.064,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,100,GA,genetic algorithm,0.043,0.025,0.070,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,100,RL,reinforcement learning,,,,not-plotted,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]","No RL bar at 100 samples in the published figure; omitted rather than read as zero"
DRAMGym,100,RW,random walker,0.027,0.019,0.032,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,1000,ACO,ant colony optimization,0.034,0.024,0.046,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,1000,BO,Bayesian optimization,0.112,0.042,0.182,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,1000,GA,genetic algorithm,0.083,0.053,0.110,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,1000,RL,reinforcement learning,,,,not-plotted,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]","No RL bar at 1000 samples in the published figure; omitted rather than read as zero"
DRAMGym,1000,RW,random walker,0.027,0.014,0.037,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,10000,ACO,ant colony optimization,0.045,0.033,0.058,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,10000,BO,Bayesian optimization,0.112,0.042,0.182,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,10000,GA,genetic algorithm,0.098,0.070,0.124,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,10000,RL,reinforcement learning,0.007,0.003,0.013,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,10000,RW,random walker,0.132,0.112,0.153,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,100000,ACO,ant colony optimization,0.030,0.021,0.041,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,100000,BO,Bayesian optimization,0.112,0.042,0.182,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,100000,GA,genetic algorithm,0.097,0.062,0.124,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,100000,RL,reinforcement learning,0.111,0.062,0.208,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,100000,RW,random walker,0.132,0.117,0.147,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,250000,ACO,ant colony optimization,0.051,0.039,0.065,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,250000,BO,Bayesian optimization,0.115,0.048,0.182,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,250000,GA,genetic algorithm,0.107,0.081,0.125,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,250000,RL,reinforcement learning,0.154,0.134,0.168,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,250000,RW,random walker,0.132,0.121,0.142,figure-digitized,"Krishnan et al., ArchGym, ISCA 2023, Fig. 7(a) [@KrishnanEtAl2023ArchGym]",
DRAMGym,,hyperparameter_iqr_spread,all families,0.90,,,stated,"Krishnan et al., ArchGym, ISCA 2023, Sec. 6.1 [@KrishnanEtAl2023ArchGym]","Up to 90 percent interquartile-range spread in outcome across hyperparameter choices for the DRAM memory-controller task (20 percent DNN accelerator, 40 percent SoC); supports the caption's hyperparameter-lottery sentence"
