Company,Product,Label,Country,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,Updated,Notes,ReferenceURL,Reference
Achronix,VectorPath S7t-VG6,Achronix,USA,8.60E+13,int8,300,FPGA,inference,Card,6/12/20,Only offers RTL for making your own chip - 9-Jul-2025,https://www.eetimes.com/fpga-acceleration-card-delivers-on-bandwidth-speed-and-flexibility/,roos2019fpga
Adapteva,Epiphany-V,Adaptiva,USA,2.05E+12,fp32,29.26,manycore,inference,Chip,6/9/20,,https://arxiv.org/abs/1610.01832;https://doi.org/10.1109/ACSSC.2014.7094761,olofsson2016epiphany;olofsson2015kickstarting
Aimotive,aiWare3,Aimotive,Hungary,1.00E+14,int8,25,tensor,inference,Chip,6/2/20,Only offers RTL for making your own chip,https://aimotive.com/news/content/1223,aimotive2018aiware3
"AIStorm	",AIStorm,AIStorm,USA,2.50E+12,int8,0.225,analog,inference,Chip,6/9/20,Claim to do some of the math up at the sensor in analog domain. Originally came to the embedded space scene with biometric sensors and processing.,https://www.eetimes.com/startup-accelerates-ai-at-the-sensor/,merritt2019aistorm
Alibaba,HanGuang 800,Alibaba,China,3.14252E+14,int8,157.126,tensor,inference,Card,6/14/20,no peak,https://medium.com/syncedreview/alibabas-new-ai-chip-can-process-nearly-80k-images-per-second-63412dec22a3,peng2019alibaba
AlphaIC,RAP-C,AlphaIC,USA,6.00E+13,int8,40,dataflow,inference,System,6/2/20,No longer in business - 9-Jul-2025,https://www.alphaics.ai/alphaics-introduces-worlds-most-powerful-ai-platform-alphaedgetm-for-l2-driverless-cars-and-autonomous-systems/,trivedi2019alphaics
AlphaIC,RAP-E,AlphaIC,USA,3.00E+13,int8,3,dataflow,inference,Chip,6/13/20,No longer in business - 9-Jul-2025,https://www.eenewsanalog.com/news/indo-us-startup-preps-agent-based-ai-processor/page/0/1,clarke2018indo
Amazon,Inferentia,AWSi1,USA,6.33E+13,int8,200,tensor,inference,Card,6/22/25,,https://www.nextplatform.com/2023/12/04/how-aws-can-undercut-nvidia-with-homegrown-ai-compute-engines/,morgan2023how
Amazon,Inferentia2,AWSi2,USA,3.80E+14,int8,300,tensor,inference,Card,6/22/25,,https://www.nextplatform.com/2023/12/04/how-aws-can-undercut-nvidia-with-homegrown-ai-compute-engines/,morgan2023how
Amazon,Trainium,AWSt1,USA,1.90E+14,fp16,300,tensor,training,Card,6/22/25,,https://www.nextplatform.com/2023/12/04/how-aws-can-undercut-nvidia-with-homegrown-ai-compute-engines/,morgan2023how
AMD,Radeon Instinct MI6,AMD-MI8,USA,8.19E+12,fp16,150,GPU,inference,Card,6/14/20,,https://blog.exxactcorp.com/taking-deeper-look-amd-radeon-instinct-gpus-deep-learning/,exxactcorp2017taking
AMD,Radeon Instinct MI60,AMD-MI60,USA,2.95E+13,fp16,300,GPU,training,Card,6/9/20,,https://www.anandtech.com/show/13562/amd-announces-radeon-instinct-mi60-mi50-accelerators-powered-by-7nm-vega,smith2018amd
AMD,MI100,AMD-MI100,USA,9.23E+13,fp16,300,GPU,training,Card,7/31/23,,https://www.anandtech.com/show/17054/amd-announces-instinct-mi200-accelerator-family-cdna2-exacale-servers,smith2021amd
AMD,MI210,AMD-MI210,USA,1.81E+14,fp16,300,GPU,training,Card,7/31/23,,https://www.nextplatform.com/2023/06/14/the-third-time-charm-of-amds-instinct-gpu/,morgan2023third
AMD,MI250,AMD-MI250,USA,3.62E+14,fp16,550,GPU,training,Card,7/31/23,,https://www.nextplatform.com/2023/06/14/the-third-time-charm-of-amds-instinct-gpu/,morgan2023third
AMD,MI300X,AMD-MI300X,USA,7.66E+14,fp16,700,GPU,training,Card,7/31/23,,https://www.nextplatform.com/2023/06/14/the-third-time-charm-of-amds-instinct-gpu/,morgan2023third
AMD,MI325X,AMD-MI325X,USA,2.61E+15,fp16,1000,GPU,training,Card,6/6/25,,https://www.nextplatform.com/2024/10/10/amd-gives-nvidia-some-serious-heat-in-gpu-compute/,morgan2024amd
AMD,MI350X,AMD-MI350X,USA,4.60E+15,fp16,1000,GPU,training,Card,6/22/25,,https://www.tomshardware.com/pc-components/gpus/amd-announces-mi350x-and-mi355x-ai-gpus-claims-up-to-4x-generational-gain-up-to-35x-faster-inference-performance,alcorn2025amd
AMD,MI355X,AMD-MI355X,USA,5.00E+15,fp16,1400,GPU,training,Card,6/22/25,,https://www.tomshardware.com/pc-components/gpus/amd-announces-mi350x-and-mi355x-ai-gpus-claims-up-to-4x-generational-gain-up-to-35x-faster-inference-performance,alcorn2025amd
ARM,Ethos N77,Ethos,UK,4.10E+12,int8,0.8,tensor,inference,Chip,6/13/20,,https://fuse.wikichip.org/news/3282/arm-ethos-is-for-ubiquitous-ai-at-the-edge/,schor2020arm
Aspinity,AML100,AML100,USA,4.00E+11,int8,0.02,analog,inference,Chip,7/11/25,,https://www.aspinity.com/aml100/;https://www.allaboutcircuits.com/news/aspinity-takes-on-tinyml-claiming-industrys-first-fully-analog-ml-chip/,aspinity2025aml100;hertz2022aspinity
Aspinity,AML200,AML200,USA,2.00E+12,int8,0.1,analog,inference,Chip,7/11/25,,https://www.aspinity.com/aml200/;https://www.allaboutcircuits.com/news/aspinity-takes-on-tinyml-claiming-industrys-first-fully-analog-ml-chip/,aspinity2025aml200;hertz2022aspinity
Axelera,Axelera Test Core,Axelera,Netherlands,3.91E+13,int8,2.79,manycore,inference,Chip,7/9/22,Test chip - technology explanation: https://axelera.ai/technology,https://www.eetimes.com/axelera-demos-ai-test-chip-after-taping-out-in-four-months/,ward2022axelera
Baidu,Baidu Kunlun 200,Baidu-K1,China,6.40E+13,fp16,160,manycore,training,Chip,7/1/21,Baidu claims the FLOPs and power numbers in the zdnet article. The chip has been deployed in Baidu data centers as FPGAs and are being converted to ASICs. No release data has been mentioned in the press. ,https://doi.org/10.1109/ISSCC42613.2021.9366056;https://www.eetimes.com/baidu-accelerator-rises-in-ai/;https://www.zdnet.com/article/baidu-creates-kunlun-silicon-for-ai/,ouyang2021kunlun;merritt2018baidu;duckett2018baidu
Baidu,Baidu Kunlun II,Baidu-K2,China,1.92E+14,fp16,120,manycore,training,Chip,7/31/23,,https://www.tomshardware.com/news/baidu-unveils-kunlun-ii-processor-for-ai,shilov2021baidu
Biren Technology,br100,br100,China,1.02E+15,fp16,550,GPU,training,Card,7/31/23,,https://www.hpcwire.com/2022/08/22/chinese-startup-biren-details-br100-gpu/;https://www.tomshardware.com/news/biren-mulls-ipo;https://www.tomshardware.com/news/chinese-biren-rolls-out-new-gpus-with-77-billion-transistors-2-pflops-of-ai-performance,peckham2022chinese;shilov2023chinese;shilov2022chinese
Biren Technology,br104,br104,China,5.12E+14,fp16,300,GPU,training,Card,7/31/23,,https://www.hpcwire.com/2022/08/22/chinese-startup-biren-details-br100-gpu/;https://www.tomshardware.com/news/biren-mulls-ipo;https://www.tomshardware.com/news/chinese-biren-rolls-out-new-gpus-with-77-billion-transistors-2-pflops-of-ai-performance,peckham2022chinese;shilov2023chinese;shilov2022chinese
Bitmain,BM1880,Bitmain,China,1.00E+12,int8,2.5,tensor,inference,Chip,6/13/20,Turned into a cryptocurrency mining company - 9-Jul-2025,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5975&year=2019&tag=3,wheeler2019bitmain
Blaize,El Cano,Blaize,USA,1.60E+12,int8,7,manycore,inference,Card,6/13/21,,https://www.blaize.com/wp-content/uploads/2020/09/Blaize-Ignites-Edge-AI-Performance.pdf,demler2020blaize
Cambricon,MLU100,Cambricon,China,6.40E+13,fp16,80,GPU,training,Card,6/2/20,,https://www.chinamoneynetwork.com/2018/05/04/chinese-ai-chip-maker-cambricon-unveils-new-cloud-based-smart-chip;https://www.anandtech.com/show/12815/cambricon-makers-of-huaweis-kirin-npu-ip-build-a-big-ai-chip-and-pcie-card,wu2018chinese;cutress2018cambricon
Cambricon,MLU100,Cambricon,China,1.28E+14,int8,80,GPU,inference,Card,6/2/20,,https://www.chinamoneynetwork.com/2018/05/04/chinese-ai-chip-maker-cambricon-unveils-new-cloud-based-smart-chip;https://www.anandtech.com/show/12815/cambricon-makers-of-huaweis-kirin-npu-ip-build-a-big-ai-chip-and-pcie-card,wu2018chinese;cutress2018cambricon
Cambricon,MLU290-M5,Cambricon-M5,China,5.12E+14,int8,350,GPU,inference,Card,6/26/25,,https://www.tomshardware.com/tech-industry/artificial-intelligence/chinas-cambricon-posts-first-profit-as-demand-for-this-nvidia-rivals-ai-processors-explodes;https://www.cambricon.com/index.php?m=content&c=index&a=lists&catid=340,shilov2025chinas;cambricon2025mlu290
Cambricon,MLU370-X8,Cambricon-X8,China,9.60E+13,fp16,250,GPU,training,Card,6/26/25,,https://www.tomshardware.com/tech-industry/artificial-intelligence/chinas-cambricon-posts-first-profit-as-demand-for-this-nvidia-rivals-ai-processors-explodes;https://www.cambricon.com/index.php?m=content&c=index&a=lists&catid=406,shilov2025chinas;cambricon2025mlu370
Canaan,Kendrite K210,Kendryte,Singapore,2.30E+11,int8,0.3,CPU,inference,Chip,6/9/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5992,gwennap2019kendryte
Cerebras,CS-1,CS-1,USA,2.65E+15,fp16,15000,manycore,training,System,6/22/25,,https://www.cerebras.net/introducing-the-cerebras-cs-1-the-industrys-fastest-artificial-intelligence-computer/;https://www.nextplatform.com/2024/03/14/cerebras-goes-hyperscale-with-third-gen-waferscale-supercomputers/,hock2019introducing
Cerebras,CS-2,CS-2,USA,6.25E+15,fp16,23000,manycore,training,System,6/22/25,,https://www.hpcwire.com/2021/04/20/cerebras-doubles-ai-performance-with-second-gen-7nm-wafer-scale-engine/;https://www.nextplatform.com/2024/03/14/cerebras-goes-hyperscale-with-third-gen-waferscale-supercomputers/,trader2021cerebras
Cerebras,CS-3,CS-3,USA,1.25E+16,fp16,23000,manycore,training,System,6/22/25,,https://www.nextplatform.com/2024/03/14/cerebras-goes-hyperscale-with-third-gen-waferscale-supercomputers/,morgan2024cerebras
HyperX Logic,HyperX,HyperX,USA,6.60E+12,int8,8,manycore,inference,Chip,6/22/25,,https://www.edge-ai-vision.com/2020/12/coherent-logix-configures-edge-ai/,demler2020coherent
Cornami,Cornami,Cornami,USA,4.18792E+14,fp16,30,manycore,training,Chip,6/14/20,Homomorphic encryption company,https://cornami.com/1416-2/,cornami2020cornami
d-Matrix,Corsair,d-Matrix,USA,2.40E+15,int8,600,manycore,inference,Card,6/22/25,,https://www.eetimes.com/d-matrix-targets-fast-llm-inference-for-real-world-scenarios/,ward2025d-matrix
Enflame,Cloudblazer T10,Enflame,China,8.00E+13,bf16,225,CPU,training,Card,6/13/21,,https://www.eenewsanalog.com/news/globalfoundries-aids-launch-chinese-ai-startup,clarke2019globalfoundries
Esperanto,ET-SoC-1,ES-1,USA,5.00E+14,int8,120,CPU,inference,Card,7/31/23,,https://www.computer.org/csdl/magazine/mi/2022/03/09670721/1zUUV1zrRUA;https://fuse.wikichip.org/news/4911/a-look-at-the-et-soc-1-esperantos-massively-multi-core-risc-v-approach-to-ai/,ditzel2022accelerating;schor2021look
Flex Logix,InferX X1,FlexLogix,USA,7.64E+12,int8,13.5,dataflow,inference,Chip,6/12/20,Got aquired by AMD/Xilinx,https://flex-logix.com/wp-content/uploads/2020/04/Accelerator-Evaluation-on-Real-Edge-Inference-Applications-04_03_2020.pdf,mehta2020performance
FuriosaAI,RNGD,FuriosaRNGD,S. Korea,5.12E+14,int8,150,tensor,inference,Card,6/22/25,,https://chipsandcheese.com/p/furiosaais-rngd-at-hot-chips-2024-accelerating-ai-with-a-more-flexible-primitive;https://doi.org/10.1109/ISCA59077.2024.00069,lam2024furiosaai;kim2024tcp
Google,TPU Edge,TPUedge,USA,4.00E+12,int8,2,tensor,inference,System,6/9/20,,https://aiyprojects.withgoogle.com/edge-tpu,tpu2019edge
Google,TPU1,TPU1,USA,9.20E+13,int8,75,tensor,inference,Chip,6/1/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
Google,TPU2,TPU2,USA,4.50E+13,fp16,280,tensor,training,Chip,6/1/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
Google,TPU3,TPU3,USA,1.23E+14,fp16,450,tensor,training,Chip,6/9/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2021ten;jouppi2020domain;teich2018tearing
Google,TPU4i,TPU4i,USA,1.38E+14,int8,175,tensor,training,Chip,6/9/21,,https://doi.org/10.1109/ISCA52012.2021.00010,jouppi2021ten
Google,TPU4,TPU4,USA,2.75E+14,fp16,192,tensor,training,Chip,7/10/22,,﻿https://www.hpcwire.com/2022/05/16/google-clouds-new-tpu-v4-ml-hub-packs-9-exaflops-of-ai/,peckham2022google
Google,TPU5e,TPU5e,USA,3.93E+14,int8,225,tensor,training,Chip,6/22/25,,https://www.nextplatform.com/2025/04/09/with-ironwood-tpu-google-pushes-the-ai-accelerator-to-the-floor/,morgan2025with
Google,TPU5p,TPU5p,USA,4.59E+14,fp16,537,tensor,training,Chip,6/22/25,,https://www.nextplatform.com/2025/04/09/with-ironwood-tpu-google-pushes-the-ai-accelerator-to-the-floor/,morgan2025with
Google,TPU6e,TPU6e,USA,9.18E+14,fp16,383,tensor,training,Chip,6/22/25,,https://www.nextplatform.com/2025/04/09/with-ironwood-tpu-google-pushes-the-ai-accelerator-to-the-floor/,morgan2025with
Google,TPU7,TPU7,USA,2.31E+15,fp16,959,tensor,training,Chip,6/22/25,,https://www.nextplatform.com/2025/04/09/with-ironwood-tpu-google-pushes-the-ai-accelerator-to-the-floor/,morgan2025with
GraphCore,C2,GraphCore,UK,1.25E+14,fp16,300,manycore,training,Card,6/14/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5992;https://www.graphcore.ai/posts/preliminary-ipu-benchmarks-providing-previously-unseen-performance-for-a-range-of-machine-learning-applications,gwennap2020groq;lacey2017preliminary
GraphCore,C2,GraphCoreNode,UK,1.60E+15,fp16,2400,manycore,training,System,6/14/20,,https://www.graphcore.ai/hubfs/Lead%20gen%20assets/DSS8440%20IPU%20Server%20White%20Paper_2020.pdf,graphcore2020dell
GraphCore,Colossus Mk2,GraphCore2,UK,2.50E+14,bf16,300,manycore,training,Card,7/10/22,,https://www.eetimes.com/graphcore-takes-on-nvidia-with-second-gen-ai-accelerator/,ward2020graphcore
GraphCore,Bow-2000,GraphCoreBow,UK,3.50E+14,bf16,300,manycore,training,Card,7/10/22,,https://www.tomshardware.com/news/graphcore-tsmc-bow-ipu-3d-wafer-on-wafer-processor,tyson2022graphcore
GreenWaves,GAP8,GAP8,France,2.27E+10,int8,0.10,manycore,inference,Chip,7/12/21,RISC-V cores,https://greenwaves-technologies.com/gap8_gap9/;https://www.eejournal.com/article/gap9-for-ml-at-the-edge/,greenwaves2020gap;turley2020gap9
GreenWaves,GAP9,GAP9,France,1.51E+11,int8,0.64,manycore,inference,Chip,7/12/21,RISC-V cores,https://greenwaves-technologies.com/gap8_gap9/;https://www.eejournal.com/article/gap9-for-ml-at-the-edge/,greenwaves2020gap;turley2020gap9
Groq,Groq Node,GroqNode,USA,1.50E+15,fp16,3300,tensor,training,System,7/6/21,,https://www.nextplatform.com/2020/09/29/groq-shares-recipe-for-tsp-nodes-systems/,hemsoth2020groq
Groq,Groq Node,GroqNode,USA,6.00E+15,int8,3300,tensor,inference,System,7/6/21,,https://www.nextplatform.com/2020/09/29/groq-shares-recipe-for-tsp-nodes-systems/,hemsoth2020groq
Groq,Tensor Streaming Proc.,Groq,USA,2.05E+14,fp16,300,tensor,training,Card,5/19/20,,http://groq.com/wp-content/uploads/2020/04/Groq-Rocks-NNs-Linley-Group-MPR-2020Jan06.pdf;https://doi.org/10.1109/ISCA45697.2020.00023,gwennap2020groq;abts2020think
Groq,Tensor Streaming Proc.,Groq,USA,8.20E+14,int8,300,tensor,inference,Card,5/19/20,,http://groq.com/wp-content/uploads/2020/04/Groq-Rocks-NNs-Linley-Group-MPR-2020Jan06.pdf;https://doi.org/10.1109/ISCA45697.2020.00023,gwennap2020groq;abts2020think
Gyrfalcon,Gyrfalcon,Gyrfalcon,USA,2.80E+12,int8,0.224,manycore,inference,Chip,6/14/20,,https://www.eetimes.com/gyrfalcon-unveils-fourth-ai-accelerator-chip/,ward2019gyrfalcon
Gyrfalcon,Gyrfalcon,GyrfalconServer,USA,2.15E+15,int8,900,manycore,inference,System,6/14/20,,https://www.hpcwire.com/off-the-wire/solidrun-gyrfalcon-develop-edge-optimized-ai-inference-server/,hpcwire2020solidrun
Hailo,Hailo-8,Hailo-8,Israel,2.688E+12,int8,9.3,manycore,inference,Chip,6/14/20,no peak,https://www.eetimes.com/details-of-hailo-ai-edge-accelerator-emerge/,ward2019details
Hailo,Hailo-15H,Hailo-15,Israel,2.00E+13,int8,2,manycore,inference,Chip,7/31/23,,https://www.eetimes.com/hailo-adds-vision-processor-socs-for-smart-cameras/,ward2023hailo
Horizon Robotics,Journey2,Journey2,China,4.00E+12,int8,2,tensor,inference,Chip,6/13/20,,https://en.horizon.ai/product/journey,horizon2020journey
Huawei HiSilicon,Ascend 310,Ascend-310,China,8.00E+12,fp16,8,manycore,training,Card,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-310,huawei2020ascend310
Huawei HiSilicon,Ascend 310,Ascend-310,China,1.60E+13,int8,8,manycore,inference,Card,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-310,huawei2020ascend310
Huawei HiSilicon,Ascend 910A,Ascend-910A,China,3.20E+14,fp16,350,manycore,training,Card,6/22/25,,https://www.nextplatform.com/2024/08/13/huaweis-hisilicon-can-compete-with-nvidia-gpus-in-china/;https://www.tomshardware.com/tech-industry/artificial-intelligence/huawei-reportedly-acquired-two-million-ascend-910-ai-chips-from-tsmc-last-year-through-shell-companies,morgan2024huawei;shilov2025huawei
Huawei HiSilicon,Ascend 910A,Ascend-910A,China,6.40E+14,int8,350,manycore,inference,Card,6/22/25,,https://www.nextplatform.com/2024/08/13/huaweis-hisilicon-can-compete-with-nvidia-gpus-in-china/;https://www.tomshardware.com/tech-industry/artificial-intelligence/huawei-reportedly-acquired-two-million-ascend-910-ai-chips-from-tsmc-last-year-through-shell-companies,morgan2024huawei;shilov2025huawei
Huawei HiSilicon,Ascend 910B,Ascend-910B,China,2.00E+14,fp16,400,manycore,training,Card,6/22/25,,https://www.nextplatform.com/2024/08/13/huaweis-hisilicon-can-compete-with-nvidia-gpus-in-china/;https://www.tomshardware.com/tech-industry/artificial-intelligence/huawei-reportedly-acquired-two-million-ascend-910-ai-chips-from-tsmc-last-year-through-shell-companies,morgan2024huawei;shilov2025huawei
Huawei HiSilicon,Ascend 910C,Ascend-910C,China,2.56E+14,fp16,600,manycore,training,Card,6/22/25,,https://www.nextplatform.com/2024/08/13/huaweis-hisilicon-can-compete-with-nvidia-gpus-in-china/;https://www.tomshardware.com/tech-industry/artificial-intelligence/huawei-reportedly-acquired-two-million-ascend-910-ai-chips-from-tsmc-last-year-through-shell-companies,morgan2024huawei;shilov2025huawei
IBM,TrueNorth,TrueNorth,USA,1.89E+12,int8,0.5,neuromorphic,inference,System,6/9/20,,https://www.top500.org/news/ibm-finds-killer-app-for-truenorth-neuromorphic-chip/;https://doi.org/10.1073/pnas.1604850113;https://doi.org/10.1109/TCAD.2015.2474396,﻿feldman2016ibm;esser2016convolutional;akopyan2015truenorth
IBM,TrueNorth,TrueNorthSys,USA,1.89E+12,int8,44,neuromorphic,inference,System,6/9/20,,https://www.top500.org/news/ibm-finds-killer-app-for-truenorth-neuromorphic-chip/;https://doi.org/10.1073/pnas.1604850113;https://doi.org/10.1109/TCAD.2015.2474396,﻿feldman2016ibm;esser2016convolutional;akopyan2015truenorth
IBM,NorthPole,NorthPole,USA,2.56E+14,int8,44,manycore,inference,Chip,5/31/25,,https://doi.org/10.1109/ISSCC49657.2024.10454451;https://doi.org/10.1109/HPEC62836.2024.10938474;https://doi.org/10.1109/HPEC62836.2024.10938418,cassidy2024ibm;akopyan2024breakthrough;appuswamy2024breakthrough
IBM,Spyre AIU,Spyre,USA,3.00E+14,fp16,75,manycore,inference,Card,9/9/25,,https://www.nextplatform.com/2024/08/27/ibm-shows-off-next-gen-ai-acceleration-on-chip-dpu-for-big-iron/;https://hc2024.hotchips.org/assets/program/conference/day1/04_HC2024.IBM.CBerry.final.pdf,morgan2024ibm;berry2024ibm
IBM/NYU,NeuFlow,NeuFlow,USA,3.20E+11,int16,10,manycore,inference,Chip,6/15/20,,https://doi.org/10.1109/CVPRW.2011.5981829,farabet2011neuflow
Institute for Computing Technology,DaDianNao,DaDianNao,China,5.59E+12,int16,15.97,dataflow,inference,Chip,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://doi.org/10.1109/MICRO.2014.58,﻿chen2016diannao;chen2014dadiannao
Institute for Computing Technology,DianNao,DianNao,China,4.52E+11,int16,0.485,dataflow,inference,Chip,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/,﻿chen2016diannao
Institute for Computing Technology,PuDianNao,PuDianNao,China,1.06E+12,int16,0.596,dataflow,inference,Chip,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://dl.acm.org/doi/10.1145/2775054.2694358,﻿chen2016diannao;liu2015pudiannao
Institute for Computing Technology,ShiDianNao,ShiDianNao,China,1.94E+11,int16,0.32,dataflow,inference,Chip,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://doi.org/10.1145/2749469.2750389,﻿chen2016diannao;du2015shidiannao
Intel,Arria 10 1150,Arria,USA,2.83E+14,fp16,85,FPGA,training,Chip,6/9/20,,https://arxiv.org/abs/1807.06434;https://www.nextplatform.com/2018/07/31/intel-fpga-architecture-focuses-on-deep-learning-inference/,abdelfattah2018dla;hemsoth2018intel
